Date,Open,High,Low,Close,Adj Close,Volume
2015-04-27,61.520000,61.799999,54.110001,61.750000,61.750000,51529
2015-05-04,60.299999,67.000000,60.230000,66.150002,66.150002,20224
2015-05-11,65.949997,72.050003,61.000000,64.000000,64.000000,67220
2015-05-18,63.509998,64.769997,58.250000,61.490002,61.490002,23123
2015-05-25,60.990002,64.949997,57.500000,63.000000,63.000000,34928
2015-06-01,63.099998,69.900002,63.099998,68.150002,68.150002,29941
2015-06-08,67.790001,67.790001,60.500000,65.480003,65.480003,27037
2015-06-15,65.489998,67.000000,62.000000,64.500000,64.500000,17469
2015-06-22,65.010002,70.000000,65.000000,67.290001,67.290001,39454
2015-06-29,63.900002,74.000000,62.000000,68.980003,68.980003,51284
2015-07-06,68.010002,73.430000,68.010002,72.699997,72.699997,28821
2015-07-13,73.449997,78.980003,72.000000,78.959999,78.959999,52807
2015-07-20,80.000000,83.000000,70.300003,70.300003,70.300003,101182
2015-07-27,69.699997,72.400002,67.010002,70.589996,70.589996,17945
2015-08-03,70.500000,73.489998,70.500000,71.500000,71.500000,18793
2015-08-10,72.000000,77.000000,71.500000,75.480003,75.480003,27804
2015-08-17,77.989998,77.989998,69.230003,71.120003,71.120003,51682
2015-08-24,69.000000,74.540001,59.000000,69.500000,69.500000,81687
2015-08-31,67.400002,69.300003,64.940002,67.989998,67.989998,22190
2015-09-07,67.989998,67.989998,62.650002,62.709999,62.709999,21328
2015-09-14,62.500000,67.000000,58.250000,65.000000,65.000000,32330
2015-09-21,65.000000,66.480003,63.000000,66.000000,66.000000,7223
2015-09-28,66.379997,66.379997,62.419998,65.400002,65.400002,12163
2015-10-05,65.389999,68.940002,63.200001,64.309998,64.309998,20392
2015-10-12,65.800003,72.000000,62.020000,70.800003,70.800003,44084
2015-10-19,70.110001,72.000000,64.199997,70.099998,70.099998,31984
2015-10-26,70.110001,71.550003,68.000000,71.000000,71.000000,16495
2015-11-02,71.589996,72.000000,68.650002,70.739998,70.739998,26292
2015-11-09,70.000000,71.849998,67.500000,68.849998,68.849998,14333
2015-11-16,67.599998,74.440002,66.019997,72.199997,72.199997,31710
2015-11-23,71.699997,72.000000,66.370003,67.199997,67.199997,13228
2015-11-30,67.900002,67.900002,66.199997,67.000000,67.000000,16001
2015-12-07,67.500000,70.000000,66.500000,68.389999,68.389999,5684
2015-12-14,67.019997,69.790001,62.200001,67.000000,67.000000,15716
2015-12-21,67.000000,72.500000,67.000000,71.099998,71.099998,21282
2015-12-28,70.010002,71.849998,70.000000,70.599998,70.599998,12200
2016-01-04,71.000000,75.900002,70.000000,72.000000,72.000000,39205
2016-01-11,72.489998,77.480003,70.650002,74.849998,74.849998,32330
2016-01-18,74.000000,75.500000,72.870003,74.900002,74.900002,41064
2016-01-25,74.900002,88.449997,74.900002,85.949997,85.949997,117830
2016-02-01,87.500000,87.769997,78.000000,79.500000,79.500000,93606
2016-02-08,79.000000,79.779999,73.610001,76.400002,76.400002,45156
2016-02-15,76.400002,77.000000,71.250000,73.500000,73.500000,31777
2016-02-22,72.519997,76.250000,72.519997,75.500000,75.500000,12671
2016-02-29,75.500000,76.150002,74.000000,74.099998,74.099998,18681
2016-03-07,74.500000,81.699997,74.000000,79.500000,79.500000,38045
2016-03-14,79.620003,81.500000,78.500000,80.699997,80.699997,12974
2016-03-21,80.800003,82.500000,68.110001,71.809998,71.809998,142076
2016-03-28,71.809998,72.699997,70.849998,71.349998,71.349998,20079
2016-04-04,71.000000,71.349998,69.000000,70.989998,70.989998,20129
2016-04-11,70.900002,70.900002,68.029999,70.339996,70.339996,34275
2016-04-18,68.500000,72.680000,68.500000,70.199997,70.199997,18476
2016-04-25,71.000000,71.099998,69.000000,71.000000,71.000000,13689
2016-05-02,71.000000,71.000000,69.849998,70.000000,70.000000,15294
